location,location_alt,HASC_1,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean
Anhui,Anhui,CN.AH,14324.3,14825.651,14425.358,13673,15552,16125,15853,15393,14685,14171,13563,10917,14458.94242
Beijing,Beijing,CN.BJ,1798.2,1865.691,1832.1,1793.372,1873.9,1892.3,1796,1656.081,1653.117,1121.828,464,131,1489.799083
Chongqing,Chongqing,CN.CQ,15664,16040,15578,15405,15243,15022,14837,14503,13955,11916,11672,9216,14087.58333
Fujian,Fujian,CN.FJ,13240,13157,12725,12977,13408,12962,11493,10661,9831,9217,7999,6415,11173.75
Gansu,Gansu,CN.GS,5648,5689,5672,5603,5907,6088,6196,6000,5802,5513,5452,4803,5697.75
Guangdong,Guangdong,CN.GD,23803,23922,22532,23005,22566,22825,21301,21358,20760,21328,20243,13337,21415
Guangxi,Guangxi,CN.GX,23070,23323,23440,24119,24666,24715,23603,23036,22161,22936,22983,15996,22837.33333
Guizhou,Guizhou,CN.GZ,15874,16179,16163,15216,16040,16041,16005,15589,14981,15968,15493,11712,15438.41667
Hebei,Hebei,CN.HB,20151,19680,18460,18852,18474,19328,19154,18656,18190,19577,18208,14183,18576.08333
Heilongjiang,Heilongjiang,CN.HL,12860,13567,13607,13679,13816,13567,13602,13140,12759,14339,1532,11732,12350
Henan,Henan,CN.HE,44620,45289,45470,45690,45872,44267,44200,43760,422841,43900,43372,31704,75082.08333
Hubei,Hubei,CN.HU,24624,25461,24761,25330,25431,25660,25506,24971,24321,25785,25785,16178,24484.41667
Hunan,Hunan,CN.HN,39153,40327,40448,41582,42455,40969,42883,40794,39366,39681,38220,26983,39405.08333
InnerMongolia,Nei Mongol,CN.NM,6443,6836,6843,6842,6937,6845,6694,6453,6400,5056,4973,4295,6218.083333
Jiangsu,Jiangsu,CN.JS,17162,17602,17285,17454,17751,17872,17995,17803,16905,16403,15520,5774,16293.83333
Jiangxi,Jiangxi,CN.JX,15087,15690,15406,15705,16458,17080,17385,16933,16171,16213,15873,10063,15672
Jilin,Jilin,CN.JL,9765,10077,9865,9892,10011,10011,10003,9723,9480,9110,8704,7928,9547.416667
Liaoning,Liaoning,CN.LN,15840,16061,15676,15854,15926,16245,15588,14574,14064,13080,12622,10552,14673.5
Shaanxi,Shaanxi,CN.SA,8807,9203,8844,8800,8002,8979,8794,8459,8279,8544,8390,7956,8588.083333
Shandong,Shandong,CN.SD,27258,27530,27475,28371,29023,29314,29107,28495,27640,30403,29856,21765,28019.75
Shanghai,Shanghai,CN.SH,1625,1751,1718,1806,1787,1847,1716,1438,1000,1112,965,507,1439.333333
Shanxi,Shanxi,CN.SX,4522,4987,4748,4461,4737,5021,5147,4859,4496,5441,5495,4514,4869
Sichuan,Sichuan,CN.SC,53258,51220,51578,51017,51324,50040,50005,48155,46758,46758,43766,28706,47715.41667
Xinjiang,Xinjiang Uygur,CN.XJ,1769,1804,1719,1582,2654,2747,3036,2944,2974,3426,3358,3068,2590.083333
Yunnan,Yunnan,CN.YN,26690,27361,27668,26898,27086,27086,26788,26252,25753,30291,30555,23424,27154.33333
Zhejiang,Zhejiang,CN.ZJ,11618,12257,12484,12819,13383,12875,9646,7301,5738,5425,5168,4273,9415.583333
