id,duration,name,start_time,end_time,start_latitude,start_longitude,end_latitude,end_longitude
1,0.0,None,2003-02-11 21:01:35,2003-02-11 21:01:35,23.379,113.7633,23.379,113.7633
2,0.972683,None,2003-02-12 10:22:31,2004-02-02 13:12:47,23.379,113.7633,23.379,113.7633
3,0.587203,None,2004-02-02 14:12:41,2004-09-04 12:12:09,23.379,113.7633,23.379,113.7633
4,0.309823,None,2004-09-04 12:12:06,2004-12-26 21:41:13,23.379,113.7633,23.379,113.7633
5,0.488731,None,2004-09-25 13:33:39,2005-03-23 05:14:01,23.379,113.7633,23.379,113.7633
6,0.576904,None,2005-06-22 20:10:50,2006-01-19 09:51:34,23.379,113.7633,23.379,113.7633
7,1.065195,None,2006-01-10 23:39:50,2007-02-03 18:46:20,23.379,113.7633,34.2904,113.3824
8,1.084931,None,2007-04-10 11:49:45,2008-05-10 20:24:18,34.2904,113.3824,34.2904,113.3824
9,0.920789,None,2008-03-26 19:31:30,2009-02-26 16:00:35,34.2904,113.3824,34.2904,113.3824
10,0.410833,None,2008-11-12 06:35:25,2009-04-11 08:44:53,34.2904,113.3824,34.2904,113.3824
11,2.040336,None,2009-07-14 17:05:25,2011-07-29 10:26:01,34.2904,113.3824,23.379,113.7633
12,0.811392,None,2011-07-29 09:25:53,2012-05-20 22:28:01,23.379,113.7633,23.379,113.7633
13,0.129845,KF546804|GDZQ/2012|Guangdong|NA|2012-07-07,2012-05-20 22:26:29,2012-07-07 11:00:00,23.379,113.7633,23.379,113.7633
14,0.909335,KF601196|JXGZ/2013|Jiangxi|NA|2013-04-18,2012-05-20 22:28:01,2013-04-18 11:00:00,23.379,113.7633,27.0875,114.9042
15,1.548124,KF577731|GDMZ/2013|Guangdong|NA|2013-02-14,2011-07-29 10:26:01,2013-02-14 12:00:00,23.379,113.7633,23.379,113.7633
16,0.491969,None,2009-04-11 08:44:53,2009-10-07 22:23:47,34.2904,113.3824,34.2904,113.3824
17,1.135102,None,2010-02-10 02:53:54,2011-03-31 10:23:31,34.2904,113.3824,34.2904,113.3824
18,1.293951,None,2011-02-28 13:23:47,2012-06-15 07:18:44,34.2904,113.3824,47.1216,128.7382
19,2.903054,KY007139|PEDV-Hjms|Heilongjiang|Jiamusi|2015-05-11,2012-06-15 07:09:06,2015-05-11 11:00:00,47.1216,128.7382,47.1216,128.7382
20,2.53692,None,2012-06-15 07:18:44,2014-12-28 19:49:35,47.1216,128.7382,47.1216,128.7382
21,0.967686,KU710241|HLJ/2015/1231|Heilongjiang|Luobei|2015-12,2014-12-27 19:04:14,2015-12-15 23:59:59,47.1216,128.7382,47.1216,128.7382
22,0.745541,None,2014-12-28 19:49:35,2015-09-26 22:45:56,47.1216,128.7382,47.1216,128.7382
23,0.219447,KU710246|HLJ/2015/1230|Heilongjiang|Luobei|2015-12,2015-09-26 21:38:39,2015-12-15 23:59:59,47.1216,128.7382,47.1216,128.7382
24,0.219319,KU710233|HLJ/2015/1228|Heilongjiang|Hegang|2015-12,2015-09-26 22:45:56,2015-12-15 23:59:59,47.1216,128.7382,47.1216,128.7382
25,1.631276,None,2011-03-31 10:23:31,2012-11-16 17:24:03,34.2904,113.3824,34.2904,113.3824
26,1.300771,None,2012-10-16 10:07:57,2014-02-03 09:54:29,34.2904,113.3824,34.2904,113.3824
27,3.220648,MF152600|CH/HNCD/2016|Henan|NA|2017,2014-04-11 10:07:24,2017-06-30 23:00:00,34.2904,113.3824,34.2904,113.3824
28,0.614056,None,2014-02-03 09:54:29,2014-09-15 13:02:19,34.2904,113.3824,34.2904,113.3824
29,1.501267,KX907115|LN/SY/2016/316b|Liaoning|NA|2016-03,2014-09-14 19:58:58,2016-03-16 00:00:00,34.2904,113.3824,41.9437,122.529
30,0.519602,None,2014-09-15 13:02:19,2015-03-24 04:45:08,34.2904,113.3824,43.3782,115.0595
31,0.982454,KX907113|NMG/2016//314c|InnerMongolia|NA|2016-03,2015-03-23 04:47:05,2016-03-16 00:00:00,43.3782,115.0595,43.3782,115.0595
32,0.979718,KX907111|NMG/2016//314a|InnerMongolia|NA|2016-03,2015-03-24 04:45:08,2016-03-16 00:00:00,43.3782,115.0595,43.3782,115.0595
33,3.620856,MH973717|CH-HENZMDBY-2016|Henan|NA|2016,2012-11-16 17:24:03,2016-06-30 23:00:00,34.2904,113.3824,34.2904,113.3824
34,0.498792,None,2009-10-07 22:23:47,2010-04-07 23:48:52,34.2904,113.3824,34.2904,113.3824
35,0.383592,None,2010-07-11 07:09:05,2010-11-28 07:25:02,34.2904,113.3824,34.2904,113.3824
36,0.343623,None,2010-11-28 07:25:52,2011-04-02 17:34:07,34.2904,113.3824,34.2904,113.3824
37,2.276264,None,2011-04-01 13:55:29,2013-07-11 09:59:51,34.2904,113.3824,23.379,113.7633
38,0.597837,KP399603|CH-YZC-02-2014|Guangdong|NA|2014-02,2013-07-12 18:56:52,2014-02-16 00:00:00,23.379,113.7633,23.379,113.7633
39,1.264498,KP399602|CH-YZC-10-2014|Guangdong|NA|2014-10,2013-07-11 09:59:51,2014-10-15 22:59:59,23.379,113.7633,23.379,113.7633
40,0.172067,None,2011-04-02 17:34:07,2011-06-04 12:52:32,34.2904,113.3824,34.2904,113.3824
41,0.885444,None,2011-06-03 06:45:07,2012-04-21 18:34:15,34.2904,113.3824,34.2904,113.3824
42,2.938999,KU237232|CH/YY/2015|Henan|Yuanyang|2015-04-01,2012-04-23 00:46:50,2015-04-01 11:00:00,34.2904,113.3824,34.2904,113.3824
43,0.483615,None,2012-04-21 18:34:15,2012-10-15 18:38:42,34.2904,113.3824,34.2904,113.3824
44,0.982401,None,2012-10-16 07:26:38,2013-10-10 02:18:20,34.2904,113.3824,34.2904,113.3824
45,1.704746,None,2013-10-09 11:34:07,2015-06-23 17:08:37,34.2904,113.3824,43.8379,126.5496
46,0.810754,KX907105|JL/2016/47a|Jilin|NA|2016-04,2015-06-24 17:50:48,2016-04-15 23:00:00,43.8379,126.5496,43.8379,126.5496
47,0.813574,KX907106|JL/2016/47b|Jilin|NA|2016-04,2015-06-23 17:08:37,2016-04-15 23:00:00,43.8379,126.5496,43.8379,126.5496
48,0.388827,None,2013-10-10 02:18:20,2014-03-01 00:25:48,34.2904,113.3824,34.2904,113.3824
49,0.194694,None,2014-02-28 21:36:24,2014-05-10 23:07:34,34.2904,113.3824,47.1216,128.7382
50,0.458521,None,2014-05-11 08:59:55,2014-10-25 17:38:33,47.1216,128.7382,34.2904,113.3824
51,1.120042,None,2014-10-26 00:33:49,2015-12-08 20:07:54,34.2904,113.3824,47.1216,128.7382
52,2.269431,MK395342|HLJ/2018/322|Heilongjiang|NA|2018-03,2015-12-07 15:47:03,2018-03-16 00:00:00,47.1216,128.7382,47.1216,128.7382
53,2.266195,MK395333|HLJ/QQHR/2018/311|Heilongjiang|NA|2018-03,2015-12-08 20:07:54,2018-03-16 00:00:00,47.1216,128.7382,47.1216,128.7382
54,1.973791,KY624206|JL/2016/1012a|Jilin|NA|2016-10,2014-10-25 17:38:33,2016-10-15 23:00:00,34.2904,113.3824,43.8379,126.5496
55,3.265739,MK395318|HLJ/2017/83|Heilongjiang|NA|2017-08,2014-05-10 23:07:34,2017-08-15 23:00:00,47.1216,128.7382,47.1216,128.7382
56,2.541344,None,2014-03-01 00:25:48,2016-09-14 07:28:35,34.2904,113.3824,30.6007,117.9249
57,0.96251,None,2016-09-15 07:14:03,2017-09-01 21:53:02,30.6007,117.9249,30.6007,117.9249
