location,latitude,longitude
Australia and New Zealand,-35.0000,150.0000
Benin,9.3077,2.3158
Burkina Faso,12.2383,-1.5616
Cape Verde,16.0021,-24.0132
Caribbean,18.0000,-66.0000
Central America,12.7690,-85.6024
Eastern Africa,-1.9577,37.2972
Eastern Asia,35.0000,127.0000
Eastern Europe,54.0000,27.0000
Gambia,13.4432,-15.3101
Ghana,7.9465,-1.0232
Guinea,9.9456,-9.6966
Ivory Coast,7.5400,-5.5471
Liberia,6.4281,-9.4295
Mali,17.5797,-3.9962
Mauritania,21.0079,-10.9408
Middle Africa,-2.0000,20.0000
Niger,17.6078,8.0817
Nigeria,9.0820,8.6753
Northern Africa,30.0000,31.0000
Northern America,45.0000,-100.0000
Northern Europe,60.0000,15.0000
Senegal,14.4974,-14.4524
South America,-15.0000,-55.0000
Southeastern Asia,3.0000,102.0000
Southern Africa,-26.0000,28.0000
Southern Asia,20.0000,80.0000
Southern Europe,42.0000,15.0000
Togo,8.6195,0.8248
Western Asia,25.0000,55.0000
Western Europe,49.0000,2.0000
